Tempo,Usina,Potencia Ativa(kW),Potencia Ativa Prevista (Random Forest),PR,Status
2024-08-23 11:23:00,BET01 ,238.73,200.2588104077958,1.1921073510516895,Normal
2024-08-23 11:28:00,BET01 ,239.269,228.013161386905,1.049364863609761,Normal
2024-08-23 11:33:00,BET01 ,239.568,222.42442609862084,1.0770759498049818,Normal
2024-08-23 11:38:00,BET01 ,221.024,229.00719222976423,0.9651399934122826,Normal
2024-08-23 11:43:00,BET01 ,88.648,192.33456891040143,0.46090518465921976,Normal
2024-08-23 11:48:00,BET01 ,88.648,126.09376480797464,0.7030323833616995,Normal
2024-08-23 11:53:00,BET01 ,103.124,118.63244822605954,0.8692731334642316,Normal
2024-08-23 11:58:00,BET01 ,122.273,133.73679936011598,0.9142808904133621,Normal
2024-08-23 12:03:00,BET01 ,231.465,160.01079832620906,1.4465586224257159,Normal
2024-08-23 12:08:00,BET01 ,115.544,167.347121865809,0.690445098259004,Normal
2024-08-23 12:13:00,BET01 ,237.837,174.49683033153423,1.362987508415614,Normal
2024-08-23 12:18:00,BET01 ,237.837,204.578691167,1.1625697605321508,Normal
2024-08-23 12:23:00,BET01 ,239.935,234.1637048565817,1.0246464119917862,Normal
2024-08-23 12:28:00,BET01 ,235.062,233.20077979517183,1.007981192028873,Normal
2024-08-23 12:33:00,BET01 ,231.518,228.5313913106476,1.0130687021692029,Normal
2024-08-23 12:38:00,BET01 ,230.79,225.8648286923652,1.0218058355351245,Normal
2024-08-23 12:48:00,BET01 ,228.59,222.83279838218297,1.0258364193225398,Normal
2024-08-23 12:53:00,BET01 ,182.957,207.95092320432556,0.8798085489634139,Normal
2024-08-23 12:58:00,BET01 ,228.16,197.15111804816527,1.157284839461367,Normal
2024-08-23 13:08:00,BET01 ,221.247,193.76134042482263,1.1418531659355522,Normal
2024-08-23 13:13:00,BET01 ,223.98,216.78945015787215,1.0331683568406649,Normal
2024-08-23 13:18:00,BET01 ,225.616,218.23669804489867,1.0338132954778447,Normal
2024-08-23 13:23:00,BET01 ,232.207,220.43330259270363,1.0534116091752739,Normal
2024-08-23 13:28:00,BET01 ,127.381,126.14586476585932,1.0097913255930604,Normal
2024-08-23 13:33:00,BET01 ,124.309,144.08202258533342,0.8627655120983415,Normal
2024-08-23 13:38:00,BET01 ,206.823,156.58781561828624,1.3208115790067088,Normal
2024-08-23 13:43:00,BET01 ,228.922,179.14666695258504,1.2778468273740704,Normal
2024-08-23 13:48:00,BET01 ,217.44,197.2794310966015,1.1021929594551927,Normal
2024-08-23 13:53:00,BET01 ,223.145,209.12586439498608,1.0670368327971873,Normal
2024-08-23 13:58:00,BET01 ,215.01,209.84216040581916,1.024627270250109,Normal
2024-08-23 14:03:00,BET01 ,212.414,207.55920701461287,1.0233899187379596,Normal
2024-08-23 14:05:00,BET01 ,210.751,203.6543856293048,1.0348463616374683,Normal
2024-08-23 14:09:00,BET01 ,208.145,197.24811295246192,1.0552445693113643,Normal
2024-08-23 14:14:00,BET01 ,206.907,199.68711335224356,1.036155996882086,Normal
2024-08-23 14:19:00,BET01 ,200.438,199.36363904509943,1.0053889513656877,Normal
2024-08-23 14:24:00,BET01 ,200.05,193.69514746409095,1.0328085273126792,Normal
2024-08-23 14:29:00,BET01 ,198.149,180.8174028920124,1.0958513773054155,Normal
2024-08-23 14:34:00,BET01 ,196.951,186.8650594844129,1.0539744591279698,Normal
2024-08-23 14:39:00,BET01 ,195.847,189.47050384964683,1.033654294577763,Normal
2024-08-23 14:44:00,BET01 ,192.857,187.41367528240607,1.0290444371756309,Normal
2024-08-23 14:54:00,BET01 ,186.962,186.6242316015145,1.0018098850057515,Normal
2024-08-23 14:59:00,BET01 ,183.558,179.5723868921692,1.0221950221679912,Normal
2024-08-23 15:04:00,BET01 ,182.23,176.77238455211165,1.0308736880011904,Normal
2024-08-23 15:09:00,BET01 ,178.87,172.03688992613615,1.0397188653944955,Normal
2024-08-23 15:14:00,BET01 ,173.015,168.226400546057,1.0284652078294452,Normal
2024-08-23 15:19:00,BET01 ,170.393,157.5427418274223,1.081566805449243,Normal
2024-08-23 15:24:00,BET01 ,166.988,146.16049286670122,1.1424975157431463,Normal
2024-08-23 15:29:00,BET01 ,162.692,146.42645405994733,1.1110833834260134,Normal
2024-08-23 15:34:00,BET01 ,158.672,149.50989552747473,1.0612809235148024,Normal
2024-08-23 15:39:00,BET01 ,153.219,148.61664207752654,1.0309679848645257,Normal
2024-08-23 15:44:00,BET01 ,151.305,135.23991532848234,1.118789520331312,Normal
2024-08-23 15:49:00,BET01 ,145.847,131.4236948040677,1.1097466116550383,Normal
2024-08-23 15:54:00,BET01 ,140.847,129.6367238542037,1.0864745406433132,Normal
2024-08-23 15:59:00,BET01 ,135.219,124.77938452303184,1.0836645854351141,Normal
2024-08-23 16:04:00,BET01 ,131.511,117.09691948942486,1.1230953006571354,Normal
