Tempo,Potencia Ativa(kW),Potencia Ativa(kW) prevista,PR,Status
2024-08-23 11:23:00,238.73,211.14999032174535,1.1306180958674394,Normal
2024-08-23 11:28:00,239.27,225.59337030110956,1.0606251401831341,Normal
2024-08-23 11:33:00,221.02,191.48885871686556,1.1542185873424575,Normal
2024-08-23 11:38:00,151.32,155.82892999941168,0.9710648722324622,Normal
2024-08-23 11:43:00,88.65,130.944169239371,0.6770060898087366,Normal
2024-08-23 11:48:00,88.65,122.2121294093055,0.7253780817704171,Normal
2024-08-23 11:53:00,103.12,119.3107232914507,0.8642978363989949,Normal
2024-08-23 11:58:00,122.27,135.48635820254685,0.9024524802505289,Normal
2024-08-23 12:03:00,147.77,149.60398036239903,0.98774109914752,Normal
2024-08-23 12:08:00,175.48,173.83864140710077,1.009441851245578,Normal
2024-08-23 12:13:00,237.84,204.21690378579862,1.1646440406787695,Normal
2024-08-23 12:18:00,237.84,219.9393040177735,1.0813892544680415,Normal
2024-08-23 12:23:00,238.26,236.10163274144656,1.0091416871348664,Normal
2024-08-23 12:28:00,234.76,231.01281486109826,1.01622068083606,Normal
2024-08-23 12:33:00,231.35,227.76934013712759,1.0157205524708317,Normal
2024-08-23 12:38:00,225.64,194.24829112613762,1.1616061005832878,Normal
2024-08-23 12:48:00,139.85,154.4108815715876,0.9057004181092191,Normal
2024-08-23 12:53:00,137.93,170.74072374390025,0.8078330522183205,Normal
2024-08-23 12:58:00,228.7,186.71695208779883,1.2248486141336525,Normal
2024-08-23 13:08:00,220.92,207.11167666278286,1.0666709070184377,Normal
2024-08-23 13:13:00,225.87,220.829771186572,1.0228240458084326,Normal
2024-08-23 13:18:00,223.35,221.3492166133254,1.0090390353184298,Normal
2024-08-23 13:23:00,222.6,184.2207073419528,1.208333217322888,Normal
2024-08-23 13:28:00,97.45,114.31440588988534,0.8524734852217124,Normal
2024-08-23 13:33:00,175.89,178.54239773019356,0.985144157556337,Normal
2024-08-23 13:38:00,233.06,196.64774556623195,1.1851648709672302,Normal
2024-08-23 13:43:00,223.75,204.38446529720628,1.094750521643772,Normal
